crop.species,age
Cereus_hexagonus,1.86846
Chaerophyllum_bulbosum,3.447609
Chamaedorea_tepejilote,5.34991115
Chamaemelum_nobile,3.060527
Chenopodium_album,13.41278
Chenopodium_berlandieri,1.083198
Chenopodium_pallidicaule,1.843622
Chenopodium_quinoa,1.083199
Chionachne_gigantea,15.034077
Chloranthus_spicatus,38.540711
Chrysanthemum_morifolium,0.158562
Chrysobalanus_icaco,15.506008
Chrysophyllum_cainito,11.550071
Cicer_arietinum,0.683013
Cichorium_endivia,0.517469
Cichorium_intybus,0.645323
Cinnamomum_burmannii,8.762158
Cinnamomum_loureiroi,8.762158
Cinnamomum_tamala,8.76217
Cinnamomum_verum,8.762159
Citrullus_lanatus,3.065193
Citrus_hystrix,13.512701
Citrus_japonica,3.033382
Citrus_limon,13.512701
Citrus_maxima,14.17348
Citrus_medica,13.512701
Citrus_reticulata,2.702613
Citrus_aurantiifolia,13.512701
Citrus_aurantium,14.17348
Citrus_latifolia,14.17348
Citrus_microcarpa,2.526455
Citrus_paradisi,10.279745
Citrus_sinensis,10.279745
Citrus_taitensis,6.152484
Clausena_anisata,16.876292
Clausena_lansium,16.876292
Claytonia_perfoliata,6.410703
Cleome_gynandra,25.336368
Cnidoscolus_aconitifolius,4.1779656
Cnidoscolus_urens,4.1779656
Coccoloba_uvifera,4.5641
Cocos_nucifera,8.2895191
Codonopsis_lanceolata,18.626852
Coffea_arabica,0.680112
Coffea_canephora,1.240516
Coffea_congensis,1.240516
Coffea_liberica,2.150631
Cola_nitida,5.172018
Colocasia_esculenta,37.609722
Combretum_indicum,20.401056
Corchorus_olitorius,8.60651
Corchorus_trilocularis,8.606518
Cordia_dodecandra,23.26641
Cordyline_fruticosa,16.29526
Coriandrum_sativum,6.917471
Cormus_domestica,8.678773
Cortaderia_selloana,8.92323
Corylus_avellana,10.810953
Corylus_chinensis,10.247059
Corylus_heterophylla,9.073801
Corylus_maxima,10.810953
Corylus_sieboldiana,13.272291
Crambe_hispanica_subsp._abyssinica,10.699055
Crambe_maritima,10.699055
Crataegus_hupehensis,5.023371
Crescentia_cujete,19.053291
Crocus_sativus,8.575575
Crotalaria_longirostrata,9.29423
Crotalaria_micans,2.345955
Croton_tiglium,2.868039
Cryptotaenia_japonica,5.15309
Cucumis_anguria,2.613444
Cucumis_maderaspatana,9.286952
Cucumis_melo,9.115653
Cucumis_metulifer,9.286953
Cucumis_sativus_var._sativus,9.115653
Cucurbita_argyrosperma,4.942759
Cucurbita_ficifolia,5.84588
Cucurbita_maxima,2.06197
Cucurbita_moschata,4.942759
Cucurbita_pepo,1.663823
Cuminum_cyminum,1.663823
Curcuma_angustifolia,13.110158
Curcuma_heyneana,1.765695
Curcuma_longa,1.451728
Curcuma_pierreana,1.798428
Curcuma_zanthorrhiza,2.356407
Cyamopsis_tetragonoloba,1.778068
Cyclanthera_pedata,17.9683
Cydonia_oblonga,17.869404
Cymbopetalum_penduliflorum,10.745765
Cynara_cardunculus,11.49185
Cyperus_articulatus,1.956774
Cyperus_cyperoides,5.231961
Cyperus_esculentus,5.234843
Cyrtocarpa_procera,5.14628
Cyrtosperma_merkusii,43.834615
Dacryodes_edulis,11.18206
Dahlia_pinnata,6.576067
Daucus_carota_subsp._sativus,0.592733
Decalobanthus_mammosus,0.221661
Dendrocalamus_asper,NA
Dendrocalamus_latiflorus,0.34427
Deschampsia_cespitosa,0.34426
Desmodium_cinereum,12.550646
Desmodium_intortum,11.51581
Desmodium_subsecundum,11.515794
Desmodium_uncinatum,11.515794
Digitaria_exilis,11.515794
Digitaria_iburua,6.53606
Digitaria_sanguinalis,6.53605
Dimocarpus_longan,6.53606
Dioscorea_alata,9.148353
Dioscorea_bulbifera,7.529081
Dioscorea_cayennensis,11.921003
Dioscorea_dumetorum,1.282178
Dioscorea_esculenta,11.921003
Dioscorea_flabellifolia,11.579344
Dioscorea_japonica,29.028139
Dioscorea_nummularia,7.80935
Dioscorea_oppositifolia,7.529081
Dioscorea_pentaphylla,7.80935
Dioscorea_polygonoides,11.921003
Dioscorea_quartiniana,18.971746
Dioscorea_trifida,29.028139
