"Family","Species.ssp.var","common.name","wild.cultivated","Herbaceous.woody","Trait","VALUE","WR2toCrop","WR2toWR1","Both","Neither","Direction.WR2toCrop","Direction.WR2toWR1"
"Malvaceae","Abelmoschus_ficulneus","Abelmosk wild relative 1","Wild","Herbaceous","Branching","Branched",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Okra wild relative 1","Wild","Herbaceous","Branching","Branched",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Abelmosk wild relative 1","Wild","Herbaceous","BranchingType","Sympodial",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Okra wild relative 1","Wild","Herbaceous","BranchingType","Monopodial",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Abelmosk wild relative 1","Wild","Herbaceous","BranchingPosition","Mesotonic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Okra wild relative 1","Wild","Herbaceous","BranchingPosition","Mesotonic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Abelmosk wild relative 1","Wild","Herbaceous","Flowering","Terminal",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Okra wild relative 1","Wild","Herbaceous","Flowering","Terminal",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Abelmosk wild relative 1","Wild","Herbaceous","MeristemFunctioning","Determinate",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Okra wild relative 1","Wild","Herbaceous","MeristemFunctioning","Determinate",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Abelmosk wild relative 1","Wild","Herbaceous","BranchingMechanism","Diffuse",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Okra wild relative 1","Wild","Herbaceous","BranchingMechanism","Diffuse",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Abelmosk wild relative 1","Wild","Herbaceous","ShortShoots","Absent",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Okra wild relative 1","Wild","Herbaceous","ShortShoots","Absent",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Abelmosk wild relative 1","Wild","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Okra wild relative 1","Wild","Herbaceous","Reiteration","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Abelmosk wild relative 1","Wild","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_ficulneus","Okra wild relative 1","Wild","Herbaceous","BasalBranching","NoData",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","GrowthDirection","Orthotropic",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","Phyllotaxis","Spiral",0,0,0,1,"",""
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","Branching","Branched",0,1,0,0,"","Branched to Unbranched"
"Malvaceae","Abelmoschus_manihot","Aibika","Cultivated","Herbaceous","BranchingType","Monopodial",0,1,0,0,"","Monopodial to Absent"
