Crop,Herbaceous/woody,Pathway_Fuller,Pathway_Fuller_Cleaned
Thymus_vulgaris,Herbaceous,Ruderal,Ruderal
Valerianella_locusta,Herbaceous,Ruderal,Ruderal
Glycyrrhiza_glabra,Woody,Ruderal,Ruderal
Glebionis_coronaria_,Herbaceous,Ruderal,Ruderal
Origanum_vulgare,Herbaceous,Ruderal,Ruderal
Celosia_argentea_,Woody,Ruderal,Ruderal
Cnidoscolus_aconitifolius_,Woody,Ruderal,Ruderal
Crotalaria_longirostrata,Woody,Ruderal,Ruderal
Monstera_deliciosa_,Woody,Ruderal,Ruderal
Houttuynia_cordata_,Herbaceous,Ruderal,Ruderal
Inula_racemosa_,Herbaceous,Ruderal,Ruderal
Ipomoea_aquatica,Herbaceous,Ruderal,Ruderal
Ipomoea_eriocarpa,Herbaceous,Ruderal,Ruderal
Isatis_tinctoria_,Herbaceous,Ruderal,Ruderal
Malva_verticillata_,Herbaceous,Ruderal,Ruderal
Matricaria_chamomilla,Herbaceous,Ruderal,Ruderal
Myrrhis_odorata_,Herbaceous,Ruderal,Ruderal
Nigella_sativa,Herbaceous,Ruderal,Ruderal
Rumex_patientia_,Herbaceous,Ruderal,Ruderal
Rumex_scutatus_,Herbaceous,Ruderal,Ruderal
Stevia_rebaudiana_,Herbaceous,Ruderal,Ruderal
Tropaeolum_majus,Herbaceous,Ruderal,Ruderal
Talinum_fruticosum,Herbaceous,Ruderal,Ruderal
Talinum_paniculatum,Herbaceous,Ruderal,Ruderal
Trapa_natans,Herbaceous,Ruderal,Ruderal
Plectranthus_amboinicus_,Herbaceous,Ruderal,Ruderal
Plukenetia_volubilis,Herbaceous,Ruderal,Ruderal
Peperomia_pellucida,Herbaceous,Ruderal,Ruderal
Phytolacca_acinosa_,Herbaceous,Ruderal,Ruderal
Piper_auritum,Herbaceous,Ruderal,Ruderal
Portulaca_oleracea,Herbaceous,Ruderal,Ruderal
Proboscidea_louisianica_,Herbaceous,Ruderal,Ruderal
Pugionium_cornutum_,Herbaceous,Ruderal,Ruderal
Suaeda_glauca,Herbaceous,Ruderal,Ruderal
Taraxacum_campylodes,Herbaceous,Ruderal,Ruderal
Tetragonia_tetragonoides,Herbaceous,Ruderal,Ruderal
Petasites_japonicus_,Herbaceous,Ruderal (but cultivation not extensive),NA
Talinum_portulacifolium,Herbaceous,Ruderal (but domestication unclear),NA
Veronica_anagallis-aquatica_,Herbaceous,Ruderal (but domestication unclear),NA
Bergenia_crassifolia_,Woody,"Ruderal (but medicinal only, and domestication only for horticultural breeding for its flowers )",NA
Bassia_indica,Herbaceous,"Ruderal (but medicinal only, and no domestication)",NA
Tanacetum_vulgare_,Herbaceous,Ruderal (but medicinal only),NA
Plantago_major_,Herbaceous,Ruderal (but medicinal),NA
Carthamus_tinctorius_,Herbaceous,Ruderal (but mostly used as a spice),NA
Rumex_obtusifolius_,Herbaceous,Ruderal (but non domesticated and cultivation very limited),NA
Cleome_gynandra,Herbaceous,"Ruderal (but not domesticated, and typically harvested from the wild as a weed, rather than cultivated)",NA
Sida_rhombifolia_,Woody,Ruderal (but only local cultivation as medicinal plant),NA
Ammi_majus,Herbaceous,"Ruderal (but only medicinal plant, cultivated with a long history of herbal use going back to at least 2,000BC in Egypt)",NA
Asclepias_syriaca,Herbaceous,Ruderal (but unlikely domesticated),NA
Blainvillea_acmella_,Herbaceous,Ruderal (but unlikely domesticated),NA
Oxalis_tetraphylla,Herbaceous,Ruderal (but use for food probably very limited),NA
Claytonia_perfoliata_,Herbaceous,Ruderal (locally cultivated but unlikely domesticated),NA
Malva_sylvestris_,Woody,Ruderal //ornemental ==> directed pathway,Ruderal/Ornamental
Sanguisorba_minor,Herbaceous,Ruderal but cultivation only occasional -- get rid off?,NA
Petunia_hybrida_,Woody,Ruderal/ornemental,Ruderal/Ornamental
Cynara_cardunculus_,Herbaceous,Ruderal/Tuber (vegetatively propagated),Ruderal/Tuber
Avena_sativa,Herbaceous,Segetal,Segetal
Digitaria_exilis,Herbaceous,Segetal,Segetal
Digitaria_iburua,Herbaceous,Segetal,Segetal
Digitaria_sanguinalis,Herbaceous,Segetal,Segetal
Echinochloa_colona,Herbaceous,Segetal,Segetal
Echinochloa_esculenta,Herbaceous,Segetal,Segetal
Echinochloa_frumentacea,Herbaceous,Segetal,Segetal
Eleusine_coracana,Herbaceous,Segetal,Segetal
Panicum_hirticaule,Herbaceous,Segetal,Segetal
Paspalum_scrobiculatum,Herbaceous,Segetal,Segetal
Secale_cereale,Herbaceous,Segetal,Segetal
Vicia_sativa,Herbaceous,Segetal,Segetal
Tripsacum_dactyloides,Herbaceous,Segetal,Segetal
Setaria_parviflora,Herbaceous,Segetal,Segetal
Phacelia_tanacetifolia_,Herbaceous,"Segetal -- used as green fodder, but probably recent -- get rid off??",NA
Vicia_hirsuta,Herbaceous,Segetal (but cultivation probably very small scale),NA
Vicia_pannonica,Herbaceous,Segetal (but cultivation probably very small scale),NA
Aeschynomene_americana,Herbaceous,Segetal (but not domesticated for human use),Segetal
Agropyron_cristatum,Herbaceous,Segetal (but not domesticated for human use),Segetal
Bouteloua_curtipendula,Herbaceous,Segetal (but not domesticated for human use),Segetal
Bouteloua_eriopoda,Herbaceous,Segetal (but not domesticated for human use),Segetal
Bouteloua_gracilis,Herbaceous,Segetal (but not domesticated for human use),Segetal
Bouteloua_repens,Herbaceous,Segetal (but not domesticated for human use),Segetal
Bromus_catharticus,Herbaceous,Segetal (but not domesticated for human use),Segetal
Bromus_marginatus,Herbaceous,Segetal (but not domesticated for human use),Segetal
Bromus_secalinus,Herbaceous,Segetal (but not domesticated for human use),Segetal
Medicago_sativa,Herbaceous,Segetal (but not domesticated for human use),Segetal
Medicago_truncatula,Herbaceous,Segetal (but not domesticated for human use),Segetal
Nassella_viridula,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_alexandrinum,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_fragiferum,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_hybridum,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_incarnatum,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_pannonicum,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_pratense,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_repens,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_resupinatum,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_semipilosum,Herbaceous,Segetal (but not domesticated for human use),Segetal
Trifolium_subterraneum,Herbaceous,Segetal (but not domesticated for human use),Segetal
Vicia_articulata,Herbaceous,Segetal (but not domesticated for human use),Segetal
Vicia_cracca,Herbaceous,Segetal (but not domesticated for human use),Segetal
Vicia_ervilia,Herbaceous,Segetal (but not domesticated for human use),Segetal
Vicia_ludoviciana,Herbaceous,Segetal (but not domesticated for human use),Segetal
Vicia_monantha,Herbaceous,Segetal (but not domesticated for human use),Segetal
Cnidoscolus_urens_,Woody,Segetal (but not domesticated for human use),Segetal
Trifolium_ambiguum,Woody,Segetal (but not domesticated for human use),Segetal
Neustanthus_phaseoloides,Herbaceous,Segetal (but only for fodder and cover crop),Segetal
Pseudoroegneria_spicata,Herbaceous,"Segetal (but only for fodder, and probably quite recent)",Segetal
Echinochloa_crus-pavonis,Herbaceous,Segetal (but only for fodder),Segetal
Eriochloa_polystachya,Herbaceous,Segetal (but only for fodder),Segetal
Paspalum_distichum,Herbaceous,Segetal (but only for fodder),Segetal
Paspalum_notatum,Herbaceous,Segetal (but only for fodder),Segetal
Paspalum_plicatulum,Herbaceous,Segetal (but only for fodder),Segetal
Poa_compressa,Herbaceous,Segetal (but only for fodder),Segetal
Poa_nemoralis,Herbaceous,Segetal (but only for fodder),Segetal
Poa_pratensis,Herbaceous,Segetal (but only for fodder),Segetal
Elymus_smithii,Herbaceous,Segetal (but only for fodder),Segetal
Vicia_benghalensis,Woody,Segetal (but only for fodder),Segetal
Vicia_narbonensis,Woody,Segetal (but only for fodder),Segetal
Galega_officinalis,Herbaceous,Segetal (but only for fodder),Segetal
Vicia_villosa,Herbaceous,Segetal (but only for fodder),Segetal
Lolium_perenne,Herbaceous,Segetal (but only for fodder),Segetal
Medicago_lupulina,Herbaceous,Segetal (but only for fodder),Segetal
Melilotus_officinalis_,Herbaceous,Segetal (but only for fodder),Segetal
Phleum_pratense,Herbaceous,Segetal (but only for fodder),Segetal
Paspalum_dilatatum,Herbaceous,Segetal (but only for to prevent erosion -- probably not very ancient),Segetal
Polytoca_gigantea,Herbaceous,Segetal (but only medicinal),Segetal
Panicum_antidotale,Herbaceous,Segetal (probably limited -- recorded in India),Segetal
Allium_ampeloprasum_subsp._ampeloprasum,Herbaceous,Tuber,Tuber
Allium_cepa,Herbaceous,Tuber,Tuber
Allium_chinense,Herbaceous,Tuber,Tuber
Allium_fistulosum,Herbaceous,Tuber,Tuber
Allium_ledebourianum,Herbaceous,Tuber,Tuber
Allium_macrostemon,Herbaceous,Tuber,Tuber
Allium_oschaninii,Herbaceous,Tuber,Tuber
Allium_ramosum,Herbaceous,Tuber,Tuber
Allium_sativum,Herbaceous,Tuber,Tuber
Allium_schoenoprasum,Herbaceous,Tuber,Tuber
Allium_scorodoprasum,Herbaceous,Tuber,Tuber
Allium_tuberosum,Herbaceous,Tuber,Tuber
Alocasia_cucullata_,Herbaceous,Tuber,Tuber
Alocasia_macrorrhizos_,Herbaceous,Tuber,Tuber
Amorphophallus_harmandii_,Herbaceous,Tuber,Tuber
Amorphophallus_paeoniifolius_,Herbaceous,Tuber,Tuber
Apios_americana,Herbaceous,Tuber,Tuber
Arctium_lappa_,Herbaceous,Tuber,Tuber
Armoracia_rusticana_,Herbaceous,Tuber,Tuber
Arracacia_xanthorrhiza_,Herbaceous,Tuber,Tuber
Asparagus_officinalis,Herbaceous,Tuber,Tuber
Bomarea_edulis_,Herbaceous,Tuber,Tuber
Campanula_rapunculus_,Herbaceous,Tuber,Tuber
Cardiocrinum_cordatum,Herbaceous,Tuber,Tuber
Colocasia_esculenta,Herbaceous,Tuber,Tuber
Cyperus_cyperoides_,Herbaceous,Tuber,Tuber
Cyperus_esculentus,Herbaceous,Tuber,Tuber
Cyrtosperma_merkusii_,Herbaceous,Tuber,Tuber
Dahlia_pinnata_,Herbaceous,Tuber,Tuber
Daucus_carota_subsp._sativus_,Herbaceous,Tuber,Tuber
Dioscorea_alata_,Herbaceous,Tuber,Tuber
Dioscorea_bulbifera,Herbaceous,Tuber,Tuber
Dioscorea_cayennensis,Herbaceous,Tuber,Tuber
Dioscorea_dumetorum,Herbaceous,Tuber,Tuber
Dioscorea_esculenta_,Herbaceous,Tuber,Tuber
Dioscorea_japonica_,Herbaceous,Tuber,Tuber
Dioscorea_pentaphylla_,Herbaceous,Tuber,Tuber
Dioscorea_piperifolia_,Herbaceous,Tuber,Tuber
Dioscorea_quartiniana_,Herbaceous,Tuber,Tuber
Dioscorea_trifida_,Herbaceous,Tuber,Tuber
Eleocharis_dulcis_,Herbaceous,Tuber,Tuber
Glycyrrhiza_echinata,Herbaceous,Tuber,Tuber
Helianthus_tuberosus_,Herbaceous,Tuber,Tuber
Ipomoea_batatas,Herbaceous,Tuber,Tuber
Lilium_lancifolium_,Herbaceous,Tuber,Tuber
Lilium_leichtlinii,Herbaceous,Tuber,Tuber
Maranta_arundinacea,Herbaceous,Tuber,Tuber
Musa_×_paradisiaca,Herbaceous,Tuber,Tuber
Musa_textilis,Herbaceous,Tuber,Tuber
Oxalis_tuberosa,Herbaceous,Tuber,Tuber
Pachyrhizus_ahipa,Herbaceous,Tuber,Tuber
Pachyrhizus_erosus,Herbaceous,Tuber,Tuber
Pachyrhizus_tuberosus,Herbaceous,Tuber,Tuber
Pastinaca_sativa,Herbaceous,Tuber,Tuber
Plectranthus_esculentus_,Herbaceous,Tuber,Tuber
Pueraria_montana,Herbaceous,Tuber,Tuber
Raphanus_sativus,Herbaceous,Tuber,Tuber
Sagittaria_sagittifolia,Herbaceous,Tuber,Tuber
Saussurea_costus_,Herbaceous,Tuber,Tuber
Smallanthus_sonchifolius,Herbaceous,Tuber,Tuber
Solanum_tuberosum,Herbaceous,Tuber,Tuber
Sphenostylis_stenocarpa,Herbaceous,Tuber,Tuber
Stachys_affinis,Herbaceous,Tuber,Tuber
Ullucus_tuberosus_,Herbaceous,Tuber,Tuber
Xanthosoma_sagittifolium_,Herbaceous,Tuber,Tuber
Bunium_bulbocastanum_,Herbaceous,Tuber,Tuber
Chaerophyllum_bulbosum,Herbaceous,Tuber,Tuber
Cichorium_endivia,Herbaceous,Tuber,Tuber
Cichorium_intybus,Herbaceous,Tuber,Tuber
Decalobanthus_mammosus_,Herbaceous,Tuber,Tuber
Eutrema_japonicum,Herbaceous,Tuber,Tuber
Lepidium_meyenii_,Herbaceous,Tuber,Tuber
Amorphophallus_konjac_,Woody,Tuber,Tuber
Cyperus_articulatus_,Woody,Tuber,Tuber
Dioscorea_nummularia_,Woody,Tuber,Tuber
Lilium_auratum,Woody,Tuber,Tuber
Manihot_esculenta_,Woody,Tuber,Tuber
Nelumbo_nucifera,Woody,Tuber,Tuber
Tacca_leontopetaloides_,Woody,Tuber,Tuber
Tropaeolum_tuberosum,Woody,Tuber,Tuber
Crocus_sativus_,Herbaceous,Tuber,Tuber
Typha_latifolia_,Herbaceous,"Tuber -- but not cultivated, harvested from wild -- get rid off",NA
Trichosanthes_pilosa,Herbaceous,Tuber (and fruit),Tuber
Zingiber_mioga,Herbaceous,Tuber (but flowers and shoots are used),Tuber
Elettaria_cardamomum,Herbaceous,Tuber (but fruit/seeds is used),Tuber
Euryale_ferox_,Herbaceous,Tuber (but fruit/seeds is used),Tuber
Vanilla_planifolia,Herbaceous,Tuber (but fruit/seeds is used),Tuber
Bambusa_bambos,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Bambusa_multiplex,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Bambusa_odashimae,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Bambusa_vulgaris,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Lathyrus_tuberosus,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Phragmites_australis,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Phyllostachys_dulcis,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Phyllostachys_nigra,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Dendrocalamus_asper,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Dendrocalamus_latiflorus,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Fimbribambusa_horsfieldii,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Cephalostachyum_capitatum,Herbaceous,Tuber (but it's not clear it has been much domesticated),Tuber
Gigantochloa_ligulata,Woody,Tuber (but it's not clear it has been much domesticated),Tuber
Rheum_×_hybridum,Herbaceous,Tuber (but leaves are used),Tuber
Rheum_officinale,Herbaceous,Tuber (but leaves are used),Tuber
Alpinia_galanga,Herbaceous,Tuber (but more for spice than food),Tuber
Alpinia_malaccensis_,Herbaceous,Tuber (but more for spice than food),Tuber
Alpinia_officinarum,Herbaceous,Tuber (but more for spice than food),Tuber
Boesenbergia_rotunda,Herbaceous,Tuber (but more for spice than food),Tuber
Canna_indica_,Herbaceous,Tuber (but more for spice than food),Tuber
Curcuma_angustifolia,Herbaceous,Tuber (but more for spice than food),Tuber
Curcuma_heyneana_,Herbaceous,Tuber (but more for spice than food),Tuber
Curcuma_longa,Herbaceous,Tuber (but more for spice than food),Tuber
Curcuma_pierreana_,Herbaceous,Tuber (but more for spice than food),Tuber
Curcuma_zanthorrhiza_,Herbaceous,Tuber (but more for spice than food),Tuber
Kaempferia_galanga,Herbaceous,Tuber (but more for spice than food),Tuber
Kaempferia_rotunda_,Herbaceous,Tuber (but more for spice than food),Tuber
Zingiber_officinale,Herbaceous,Tuber (but more for spice than food),Tuber
Vanilla_pompona_,Herbaceous,"Tuber (vegetatively propagaged, but fruit used)",Tuber
Aframomum_melegueta_,Herbaceous,"Tuber [propagated, but more for spice than food; spice mostly fruit]",Tuber
Amomum_compactum,Herbaceous,"Tuber [propagated, but more for spice than food; spice mostly fruit]",Tuber
Amomum_subulatum,Herbaceous,"Tuber [propagated, but more for spice than food; spice mostly fruit]",Tuber
Amomum_verum,Herbaceous,"Tuber [propagated, but more for spice than food; spice mostly fruit]",Tuber
Codonopsis_lanceolata_,Woody,"Tuber, but domestication unsure",Tuber
Tropaeolum_leptophyllum,Herbaceous,"Tuber, but unlikely domesticated and use for food appear quite limited",NA
Schoenoplectus_californicus_,Herbaceous,"Usef for structure, but not cultivated -- get rif off",NA
